nazwa	liczba_detektorow	alfa	fi	blad	czy_filtr
Kwadraty2_FILTR_	151	1	250	0.400606080564	1
Kwadraty2_FILTR_	101	1	250	0.39227157573	1
Kwadraty2_FILTR_	201	1	250	0.41378271195	1
Kwadraty2_FILTR_	251	1	250	0.406590094988	1
Kwadraty2_FILTR_	301	1	250	0.390861123198	1
Kwadraty2_FILTR_	351	1	250	0.32991451259	1
Kwadraty2_FILTR_	301	1	100	0.337288176762	1
Kwadraty2_FILTR_	301	1	150	0.371618443072	1
Kwadraty2_FILTR_	301	1	200	0.33769194213	1
Kwadraty2_FILTR_	301	1	250	0.390861123198	1
Kwadraty2_FILTR_	301	1	300	0.420448663728	1
Kwadraty2_FILTR_	301	1	350	0.42482801604	1
CT_ScoutView_FILTR_	101	1	250	73.2348307952	1
CT_ScoutView_FILTR_	151	1	250	73.1899015202	1
CT_ScoutView_FILTR_	201	1	250	73.1467409287	1
CT_ScoutView_FILTR_	251	1	250	73.2013353262	1
CT_ScoutView_FILTR_	301	1	250	73.12338955	1
CT_ScoutView_FILTR_	351	1	250	73.118852765	1
CT_ScoutView_FILTR_	301	1	100	73.0962826887	1
CT_ScoutView_FILTR_	301	1	150	73.1374481791	1
CT_ScoutView_FILTR_	301	1	200	73.1248137833	1
CT_ScoutView_FILTR_	301	1	250	73.12338955	1
CT_ScoutView_FILTR_	301	1	300	73.2021380951	1
CT_ScoutView_FILTR_	301	1	350	73.2415444962	1
Kwadraty2_FILTR_	301	1	100	0.337288176762	1
Kwadraty2_FILTR_	301	1	150	0.371618443072	1
Kwadraty2_FILTR_	301	1	200	0.33769194213	1
Kwadraty2_FILTR_	301	1	250	0.390861123198	1
Kwadraty2_FILTR_	301	1	300	0.420448663728	1
Kwadraty2_FILTR_	301	1	350	0.42482801604	1
Kwadraty2_FILTR_	101	1	250	0.39227157573	1
Kwadraty2_FILTR_	151	1	250	0.400606080564	1
Kwadraty2_FILTR_	201	1	250	0.41378271195	1
Kwadraty2_FILTR_	251	1	250	0.406590094988	1
Kwadraty2_FILTR_	301	1	250	0.390861123198	1
Kwadraty2_FILTR_	351	1	250	0.32991451259	1
Kwadraty2_FILTR_	351	1	250	0.32991451259	1
Kwadraty2_FILTR_	300	1	300	0.383499517031	1
SADDLE_PE_FILTR_	101	1	250	0.370582163541	1
SADDLE_PE_FILTR_	151	1	250	0.339262321274	1
SADDLE_PE_FILTR_	201	1	250	0.316689933117	1
SADDLE_PE_FILTR_	251	1	250	0.350393356621	1
SADDLE_PE_FILTR_	301	1	250	0.313805747935	1
SADDLE_PE_FILTR_	351	1	250	0.313364462667	1
SADDLE_PE_FILTR_	301	1	100	0.286193591399	1
SADDLE_PE_FILTR_	301	1	150	0.303728568078	1
SADDLE_PE_FILTR_	301	1	200	0.308730697324	1
SADDLE_PE_FILTR_	301	1	250	0.313805747935	1
SADDLE_PE_FILTR_	301	1	300	0.367779922542	1
SADDLE_PE_FILTR_	301	1	350	0.39337114594	1
Kolo_FILTR_	181	1	270	0.347793822896	1
Kwadraty2_FILTR_	181	1	270	0.396724985887	1
Kwadraty2_FILTR_	301	1	270	0.417084377477	1
Kwadraty2_FILTR_	301	1	270	0.417084377477	1
SADDLE_PE_FILTR_	301	1	270	0.323326773865	1
Kwadraty2_FILTR_	301	1	270	0.417084377477	1
Kwadraty2_FILTR_	301	1	270	0.417084377477	1
Kwadraty2_FILTR_	181	1	270	0.396724985887	1
Kropka_FILTR_	301	1	300	0.181323649449	1
Kwadraty2_FILTR_	301	1	270	0.417084377477	1
Kropka_FILTR_	301	1	270	0.137412384974	1
Kolo_FILTR_	301	1	270	0.333028968373	1
CT_ScoutView_FILTR_	181	1	270	50.9379060028	1
CT_ScoutView_FILTR_	181	1	270	50.9391740208	1
CT_ScoutView_FILTR_	181	1	270	51.0007945133	1
CT_ScoutView_FILTR_	181	1	270	51.0007945133	1
CT_ScoutView_FILTR_	181	1	270	50.9365662912	1
CT_ScoutView_FILTR_	181	1	270	51.1258026537	1
